aos.howardmoore.species	howardmoore.family	dr.statistic	tb.statistic	nh.statistic	elev.mid	elev.max	elev.range	lat.mid	lat.max	lat.range	AM_percent	AN_percent	DT_percent	AF_percent	CA_percent
Drymophila_striaticeps	Thamnophilidae	-1.241785139	0.796552236	17.13936419	1500	2500	2000	0.853118896	7.252075196	16.21038819	0.050332449	0.922019807	0	0	0.027647744
Dysithamnus_leucostictus	Thamnophilidae	-1.983732775	1.786528059	18.38292491	1200	1900	1400	3.063014404	11.33129883	16.53656885	0.040052671	0.921484602	0	0	0.038462728
Dysithamnus_mentalis	Thamnophilidae	-1.983732775	1.786528059	18.38292491	1250	2500	2500	4.598205567	18.19250488	45.5814209	0.063863034	0.188023898	0.158467247	0.514750457	0.074895364
Dysithamnus_occidentalis	Thamnophilidae	-2.06650653	1.977326864	18.43995738	2000	2400	800	0.214167944	5.214791553	10.85791899	0.016880708	0.971153151	0	0	0.011966141
Dysithamnus_plumbeus	Thamnophilidae	-2.220136135	2.115395012	19.52611548	450	900	900	17.75663875	13.67349479	8.166287921	0	0	0	1	0
Dysithamnus_puncticeps	Thamnophilidae	-2.058919754	1.609864421	19.87662266	500	1000	1000	8.917602539	9.752075195	1.668945312	0	0.166918689	0	0	0.833081311
Dysithamnus_stictothorax	Thamnophilidae	-1.861246918	1.602678519	17.85414693	625	1250	1250	20.68081665	14.24932861	12.86297608	0	0	0.001358742	0.998641258	0
Dysithamnus_striaticeps	Thamnophilidae	-2.058919754	1.609864421	19.87662266	450	900	900	15.00268555	15.99029541	1.975219727	0	0	0	0	1
Dysithamnus_xanthopterus	Thamnophilidae	-1.861246918	1.602678519	17.85414693	1225	1700	950	23.4889488	19.7868042	7.404289207	0	0	0.00035166	0.99964834	0
Epinecrophylla_amazonica	Thamnophilidae	-0.858400401	0.307708939	18.2113243	650	1300	1300	7.195970093	3.070174181	8.251591824	1	0	0	0	0
Epinecrophylla_dentei	Thamnophilidae	-0.858400401	0.307708939	18.2113243	650	1300	1300	7.195970093	3.070174181	8.251591824	1	0	0	0	0
Epinecrophylla_erythrura	Thamnophilidae	-1.83093521	1.432666843	21.68484263	515.5	1000	969	5.534576416	3.192321777	17.45379639	0.836442371	0.163557629	0	0	0
Epinecrophylla_fjeldsaai	Thamnophilidae	-0.847173094	0.134656759	18.21784168	650	1300	1300	2.835840633	7.595926464	20.8635342	0.9896112	0.0103888	0	0	0
Epinecrophylla_fulviventris	Thamnophilidae	-2.522028289	2.227434381	25.94006804	600	1200	1200	11.77029419	15.88049316	8.220397949	0	0.168768803	0	0	0.831231197
Epinecrophylla_gutturalis	Thamnophilidae	-1.790614259	1.307436359	21.64961595	500	1000	1000	3.020111084	7.581298828	9.122375488	1	0	0	0	0
Epinecrophylla_haematonota	Thamnophilidae	-0.847173094	0.134656759	18.21784168	650	1300	1300	2.835840633	7.595926464	20.8635342	0.9896112	0.0103888	0	0	0
Epinecrophylla_leucophthalma	Thamnophilidae	-1.83093521	1.432666843	21.68484263	525	1050	1050	3.016061396	1.512242041	3.007638711	0.921775356	0.044017252	0.034207391	0	0
Epinecrophylla_ornata	Thamnophilidae	-2.295747759	2.002815422	24.39588643	750	1500	1500	1.001543322	4.033874512	10.07083567	0.707818865	0.245259888	0.046921247	0	0
Epinecrophylla_pyrrhonota	Thamnophilidae	-1.259012105	0.967017306	19.28494778	650	1300	1300	2.835840633	7.595926464	20.8635342	0.9896112	0.0103888	0	0	0
Epinecrophylla_spodionota	Thamnophilidae	-1.211483193	0.834269719	19.264513	1050	1500	900	1.076812729	2.863522754	7.880670966	0.171489759	0.828510241	0	0	0
Euchrepomis_callinota	Thamnophilidae	-2.107943508	1.010127463	26.39663599	1550	2400	1700	0.942736207	10.53989858	22.96526957	0.057990308	0.862885241	0	0	0.079124451
